indent_level,occupation,total_employed_thousands,pct_women,pct_white,pct_black_or_african_american,pct_asian,pct_hispanic_or_latino
3,Civil engineers,525,21.8,78.0,9.0,10.7,12.5
3,Computer hardware engineers,94,22.5,47.1,5.4,46.7,7.1
3,Electrical and electronics engineers,284,10.1,72.5,3.6,20.6,10.6
3,Environmental engineers,49,-,-,-,-,-
3,"Industrial engineers, including health and safety",274,23.3,72.5,7.1,16.3,11.0
3,Marine engineers and naval architects,15,-,-,-,-,-
3,Materials engineers,56,19.8,73.7,2.4,24.0,11.2
3,Mechanical engineers,419,11.2,84.0,2.4,11.5,10.9
3,"Mining and geological engineers, including mining safety engineers",5,-,-,-,-,-
3,Nuclear engineers,7,-,-,-,-,-
3,Petroleum engineers,15,-,-,-,-,-
3,"Engineers, all other",685,17.9,70.3,6.2,20.9,10.2
3,Architectural and civil drafters,39,-,-,-,-,-
3,Other drafters,79,23.9,88.2,4.8,6.9,11.6
3,Electrical and electronic engineering technologists and technicians,79,7.4,73.0,10.3,5.7,17.2
3,"Other engineering technologists and technicians, except drafters",385,25.1,73.2,10.9,10.9,16.3
3,Surveying and mapping technicians,52,12.2,89.9,5.1,2.9,14.8
2,"Life, physical, and social science occupations","1,858",49.4,72.9,8.3,15.4,10.5
3,Agricultural and food scientists,27,-,-,-,-,-
3,Biological scientists,100,47.8,81.1,3.5,10.2,6.7
3,Conservation scientists and foresters,27,-,-,-,-,-
3,Medical scientists,102,55.6,55.2,5.8,34.2,7.3
3,"Life scientists, all other",5,-,-,-,-,-
3,Astronomers and physicists,24,-,-,-,-,-
3,Atmospheric and space scientists,11,-,-,-,-,-
3,Chemists and materials scientists,106,31.1,72.2,5.5,19.7,5.1
3,"Environmental scientists and specialists, including health",63,46.1,76.9,2.7,8.4,12.0
3,"Geoscientists and hydrologists, except geographers",43,-,-,-,-,-
3,"Physical scientists, all other",362,42.6,57.2,10.4,30.8,7.0
3,Economists,34,-,-,-,-,-
3,Survey researchers,0,-,-,-,-,-
3,Clinical and counseling psychologists,19,-,-,-,-,-
3,School psychologists,46,-,-,-,-,-
3,Other psychologists,152,71.3,90.0,4.8,5.1,6.7
3,Sociologists,2,-,-,-,-,-
3,Urban and regional planners,39,-,-,-,-,-
3,Miscellaneous social scientists and related workers,47,-,-,-,-,-
3,Agricultural and food science technicians,55,37.2,89.7,1.6,8.7,29.2
3,Biological technicians,25,-,-,-,-,-
3,Chemical technicians,75,36.0,72.3,16.9,6.9,15.1
3,Environmental science and geoscience technicians,16,-,-,-,-,-
3,Nuclear technicians,3,-,-,-,-,-
3,Social science research assistants,7,-,-,-,-,-
3,"Other life, physical, and social science technicians",386,59.7,69.6,10.5,13.8,12.6
3,Occupational health and safety specialists and technicians,83,49.8,82.9,12.5,2.6,16.2
2,Community and social service occupations,"2,846",69.0,72.4,18.2,4.1,14.7
3,Substance abuse and behavioral disorder counselors,164,79.8,72.7,20.6,3.1,20.4
3,"Educational, guidance, and career counselors and advisors",348,77.0,73.6,18.8,3.4,19.1
3,Marriage and family therapists,40,-,-,-,-,-
3,Mental health counselors,218,72.6,71.4,22.0,4.0,7.2
3,Rehabilitation counselors,16,-,-,-,-,-
3,"Counselors, all other",257,74.5,75.7,19.1,1.6,15.9
3,"Child, family, and school social workers",83,81.3,72.6,24.3,0.5,21.3
3,Healthcare social workers,118,81.5,69.4,16.2,6.6,11.8
3,Mental health and substance abuse social workers,37,-,-,-,-,-
3,"Social workers, all other",596,84.4,67.5,21.8,4.9,18.6
3,Probation officers and correctional treatment specialists,67,43.6,65.0,22.6,3.8,20.6
3,Social and human service assistants,210,75.2,73.8,16.6,3.9,19.4
3,Other community and social service specialists,121,72.7,56.9,20.8,5.4,13.7
3,Clergy,405,23.7,79.0,11.6,5.3,6.1
3,"Directors, religious activities and education",82,65.0,83.0,7.4,1.4,5.2
3,"Religious workers, all other",82,61.6,88.8,4.9,5.7,7.8
2,Legal occupations,"1,880",56.0,83.8,8.2,5.9,12.8
3,Lawyers,"1,146",42.9,85.9,5.9,6.0,9.2
3,Judicial law clerks,15,-,-,-,-,-
3,"Judges, magistrates, and other judicial workers",57,50.5,74.2,18.2,4.8,13.1
3,Paralegals and legal assistants,486,82.4,81.1,11.4,5.7,20.4
3,"Title examiners, abstractors, and searchers",96,76.3,81.7,7.2,8.6,10.9
3,"Legal support workers, all other",79,56.7,80.0,14.6,4.7,18.9
2,"Education, training, and library occupations","9,452",74.4,79.3,10.6,6.6,13.4
3,Postsecondary teachers,"1,058",52.3,76.9,6.6,13.3,7.9
3,Preschool and kindergarten teachers,644,97.1,71.1,17.5,6.9,18.7
3,Elementary and middle school teachers,"3,511",79.2,82.4,10.5,4.3,12.8
3,Secondary school teachers,790,56.5,85.8,8.2,2.9,9.2
3,Special education teachers,349,84.7,86.2,8.4,2.6,12.2
3,Tutors,165,73.5,67.2,10.6,13.4,14.3
3,Other teachers and instructors,"1,018",67.3,76.9,12.0,7.4,14.3
3,"Archivists, curators, and museum technicians",78,64.1,91.9,0.5,2.4,1.5
3,Librarians and media collections specialists,195,84.9,84.6,7.5,4.2,9.0
3,Library technicians,31,-,-,-,-,-
3,Teaching assistants,"1,462",80.1,74.1,11.6,9.8,19.3
3,Other educational instruction and library workers,151,76.6,73.4,16.5,5.3,13.9
2,"Arts, design, entertainment, sports, and media occupations","3,504",50.4,80.7,8.0,6.3,13.6
3,Artists and related workers,302,59.9,78.0,7.6,6.7,14.4
3,Commercial and industrial designers,21,-,-,-,-,-
3,Fashion designers,44,-,-,-,-,-
3,Floral designers,49,-,-,-,-,-
3,Graphic designers,285,54.2,79.2,6.8,10.1,13.2
3,Interior designers,125,82.8,86.7,5.1,6.0,11.3
3,Merchandise displayers and window trimmers,31,-,-,-,-,-
3,Other designers,379,45.6,79.4,4.5,9.9,15.1
3,Actors,43,-,-,-,-,-
3,Producers and directors,216,43.6,77.9,13.8,4.6,14.8
3,Athletes and sports competitors,44,-,-,-,-,-
3,Coaches and scouts,362,47.4,78.7,10.6,4.1,9.8
3,"Umpires, referees, and other sports officials",27,-,-,-,-,-
3,Dancers and choreographers,18,-,-,-,-,-
3,Music directors and composers,58,28.5,76.6,16.6,6.5,8.5
3,Musicians and singers,167,34.1,84.3,9.1,3.4,14.8
3,"Disc jockeys, except radio",17,-,-,-,-,-
3,"Entertainers and performers, sports and related workers, all other",63,47.8,80.6,6.0,1.7,15.9
3,Broadcast announcers and radio disc jockeys,18,-,-,-,-,-
3,"News analysts, reporters, and journalists",86,41.1,71.3,11.7,7.0,6.1
3,Public relations specialists,135,65.9,80.5,10.3,4.9,14.5
3,Editors,113,63.2,85.4,7.8,6.4,7.7
3,Technical writers,54,46.9,75.6,10.1,9.4,4.9
3,Writers and authors,234,66.8,85.6,7.7,4.3,7.0
3,Interpreters and translators,97,66.9,74.4,3.7,14.9,44.2
3,Court reporters and simultaneous captioners,24,-,-,-,-,-
3,"Media and communication workers, all other",23,-,-,-,-,-
3,"Broadcast, sound, and lighting technicians",121,10.5,79.6,8.7,5.2,19.7
3,Photographers,216,50.7,88.3,1.8,3.9,15.1
3,"Television, video, and film camera operators and editors",129,30.6,80.0,8.6,6.4,9.9
3,"Media and communication equipment workers, all other",2,-,-,-,-,-
2,Healthcare practitioners and technical occupations,"10,364",75.3,72.6,12.7,11.4,11.0
3,Chiropractors,66,31.1,89.1,2.4,3.5,16.8
3,Dentists,192,38.6,76.1,3.9,15.5,14.8
3,Dietitians and nutritionists,136,91.7,77.3,10.3,11.1,8.9
3,Optometrists,48,-,-,-,-,-
3,Pharmacists,365,62.7,65.8,10.0,22.8,6.1
3,Emergency medicine physicians,25,-,-,-,-,-
3,Radiologists,19,-,-,-,-,-
3,Other physicians,929,41.7,65.5,5.6,25.5,6.6
3,Surgeons,73,25.9,69.6,6.2,20.4,1.3
3,Physician assistants,153,77.5,81.4,4.8,11.0,12.2
3,Podiatrists,9,-,-,-,-,-
3,Audiologists,20,-,-,-,-,-
3,Occupational therapists,138,92.4,89.9,3.9,3.8,5.8
3,Physical therapists,338,66.9,78.3,3.3,13.5,4.8
3,Radiation therapists,10,-,-,-,-,-
3,Recreational therapists,13,-,-,-,-,-
3,Respiratory therapists,89,65.2,66.9,20.4,10.6,18.5
3,Speech-language pathologists,203,97.3,88.7,7.4,2.9,8.1
3,Exercise physiologists,5,-,-,-,-,-
3,"Therapists, all other",323,78.1,76.1,13.3,4.1,16.3
3,Veterinarians,91,70.9,87.7,1.6,9.6,6.8
3,Registered nurses,"3,528",87.3,70.6,16.0,10.6,10.0
3,Nurse anesthetists,25,-,-,-,-,-
3,Nurse midwives,11,-,-,-,-,-
3,Nurse practitioners,325,90.5,75.7,11.1,10.3,6.8
3,Acupuncturists,20,-,-,-,-,-
3,"Healthcare diagnosing or treating practitioners, all other",17,-,-,-,-,-
3,Clinical laboratory technologists and technicians,313,67.2,68.1,16.0,12.7,16.2
3,Dental hygienists,203,95.0,86.5,7.2,4.8,14.1
3,Cardiovascular technologists and technicians,67,70.7,66.5,19.2,9.9,7.5
3,Diagnostic medical sonographers,119,80.6,79.8,8.8,9.4,17.5
3,Radiologic technologists and technicians,274,65.7,81.5,7.7,8.1,13.7
3,Magnetic resonance imaging technologists,64,65.2,66.6,13.4,19.0,9.6
3,Nuclear medicine technologists and medical dosimetrists,41,-,-,-,-,-
3,Emergency medical technicians,135,40.9,85.8,6.0,2.3,18.9
3,Paramedics,117,28.5,79.4,5.0,12.5,10.6
3,Pharmacy technicians,373,76.8,70.3,12.9,12.7,13.6
3,Psychiatric technicians,142,76.8,68.9,22.9,3.0,19.8
3,Surgical technologists,107,77.3,76.4,16.4,3.2,16.9
3,Veterinary technologists and technicians,145,87.2,87.3,5.4,1.0,13.8
3,Dietetic technicians and ophthalmic medical technicians,68,70.7,65.0,20.9,8.4,6.8
3,Licensed practical and licensed vocational nurses,545,89.9,59.1,28.6,7.4,15.9
3,Medical records specialists,166,92.3,81.2,10.0,5.4,12.9
3,"Opticians, dispensing",50,73.6,81.2,12.6,5.7,17.4
3,Miscellaneous health technologists and technicians,126,62.6,59.1,22.2,14.0,17.1
3,Other healthcare practitioners and technical occupations,139,68.9,74.0,14.1,6.3,14.0
0,Service occupations,"27,230",57.8,70.9,17.8,6.1,27.6
1,Healthcare support occupations,"5,830",83.4,60.4,26.9,7.8,21.1
2,Home health aides,726,86.1,52.5,30.8,12.9,28.7
2,Personal care aides,"1,840",79.8,58.4,26.4,9.0,23.1
2,Nursing assistants,"1,404",86.9,50.7,39.3,5.3,13.4
2,Orderlies and psychiatric aides,60,67.8,67.3,29.2,3.0,14.1
